name,year,revenue,employee,sector,job_title,location,salary_est
Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science),"Boston, MA",$103K - $151K (Glassdoor est.)
Dataspace,1994,$5 to $25 million (USD),1 to 50 Employees,Information Technology,171: Data Engineers (Sr & Jr),Massachusetts,$120K (Employer est.)
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),"Dallas, TX",$57K - $90K (Glassdoor est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Strategy and Analytics, Telemedicine","San Francisco, CA",NaN
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Strategy and Analytics, Growth","San Francisco, CA",NaN
Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant,"San Francisco, CA",$97K - $155K (Glassdoor est.)
Brilliant,NaN,Unknown / Non-Applicable,Unknown,NaN,Producer - Data Science,"San Francisco, CA",$120K - $180K (Employer est.)
Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,"Seattle, WA",$100K - $135K (Employer est.)
Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,"Chicago, IL",$84K - $113K (Glassdoor est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science","San Francisco, CA",$113K - $169K (Glassdoor est.)
Netflix,1997,$5 to $10 billion (USD),5001 to 10000 Employees,Information Technology,Analytics Engineer (L5) - Content,Remote,NaN
CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science,California,$116K - $193K (Employer est.)
Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant,"Charlotte, NC",$80K - $115K (Glassdoor est.)
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer,"Dallas, TX",$83K - $117K (Glassdoor est.)
"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70K - $75K (Employer est.)
L'Oreal,1909,$10+ billion (USD),10000+ Employees,Manufacturing,Director - Commercial Data Engineer,"El Segundo, CA",$120K - $179K (Glassdoor est.)
pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote),United States,$75K - $120K (Employer est.)
